Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"M4,M3,M1,M2",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_3.2mm_M3_Pad_Via,
2,"Q23,Q21,Q19,Q17,Q11,Q9,Q7,Q5",SOT-323_SC-70,8,BSS84,
3,J1,PinHeader_2x11_P2.54mm_Vertical,1,Conn_01x22_Male,
4,"D1,D3,D5,D7,D13,D15,D17,D19",D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,8,ActiveSource,
5,"D2,D4,D6,D8,D14,D16,D18,D20",D_0603_1608Metric_Pad1.05x0.95mm_HandSolder,8,ActiveSink,
6,"D9,D10,D11,D12,D21,D22,D23,D24,D25,D26,D27,D28,D29,D30,D31,D32",D_SOT-23_ANK,16,BZX84C12,
7,"F1,F2,F3,F4,F5,F6,F7,F8",R_0603_1608Metric,8,C2Q300,
8,J2,PinHeader_1x08_P2.54mm_Horizontal,1,GPIODriveOutputs,
9,"Q1,Q2,Q3,Q4,Q13,Q14,Q15,Q16",SOT-723,8,DTC143EE,
10,"Q6,Q8,Q10,Q12,Q18,Q20,Q22,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32",SOT-23,16,2N7002,
11,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R29,R30,R31,R32,R53,R54,R55,R56,R65,R66,R67,R77,R78,R79,R89,R90",R_0402_1005Metric,30,100,
12,"R15,R16,R33,R34,R35,R36,R37,R38,R39,R40,R57,R58,R59,R60,R61,R62,R63,R64,R71,R72,R73,R83,R84,R85,R93,R94",R_0402_1005Metric,26,10k,
13,"R17,R18,R19,R20,R21,R22,R23,R24,R41,R42,R43,R44,R45,R46,R47,R48,R68,R69,R70,R74,R75,R76,R80,R81,R82,R86,R87,R88,R91,R92,R95,R96",R_0402_1005Metric,32,1k,
14,"R25,R26,R27,R28,R49,R50,R51,R52",R_0402_1005Metric,8,400,
15,"U1,U2",TSSOP-20_4.4x6.5mm_P0.65mm,2,74HC244,
16,U3,SOT-223,1,NCV8452,
17,"U4,U5",TSSOP-16_4.4x5mm_P0.65mm,2,74HC595_Nexperia,
18,U6,TSSOP-16_4.4x5mm_P0.65mm,1,74HC165,
